"X1","Run","Minimization Step","Covariance Step","OBJ","npar","theta.se.max","omega.se.max","AIC","highestSHK","lowestPVAL"
"39","RUN039_DES_1C4TAwAP_PPV_CORCLVKA","Successful","OK",-7901.404,8,7.61744966442953,13.1089108910891,-7885.404,9.86532,0.397628
"38","RUN038_DES_1C4TAwA_PPV_CORCLVKA","Successful","OK",-7849.817,9,30.5980066445183,13.3267716535433,-7831.817,9.71218,0.449681
"37","RUN037_DES_1C4TA_PPV_CORCLVKA","Successful","OK",-7835.392,9,30.4983388704319,13,-7817.392,9.70651,0.442846
"36","RUN036_DES_1C3TAwAP_PPV_CORCLVKA","Successful","OK",-7802.572,8,7.68181818181818,13.3333333333333,-7786.572,10.2311,0.317
"34","RUN034_1C1AwAP_PPV_CORCLVKA_LAG1","Successful","OK",-7760.292,9,22.7654320987654,13.8866396761134,-7742.292,9.78092,0.436231
"23","RUN023_DES_1C3TAwA_PPV_CORCLVKA","Successful","OK",-7757.695,9,30.1582278481013,13.7125748502994,-7739.695,10.4992,0.353338
"40","RUN040_1C1AP_PPV_CORCLV_KA_LAG2","Successful","OK",-7745.323,9,28.1862745098039,13.8265306122449,-7727.323,9.61044,0.438746
"21","RUN021_DES_1C3TA_PPV_CORCLVKA","Successful","OK",-7743.576,9,29.4006309148265,13.2833020637899,-7725.576,10.5723,0.363263
"12","RUN012_1C1AwA_PPV_CORCLVKA_LAG","Successful","OK",-7705.952,10,29.6573208722741,14.5807770961145,-7685.952,11.7502,0.356894
"15","RUN015_1C1A_PPV_CORCLV_KA_LAG","Successful","OK",-7689.562,10,29.4409937888199,13.9583333333333,-7669.562,10.7644,0.30691
"35","RUN035_DES_1C2TAwAP_PPV_CORCLVKA","Successful","OK",-7642.89,8,6.79310344827586,13.8241308793456,-7626.89,12.1884,0.248424
"32","RUN032_DES_1C1AwAP_PPV_CORCLVKA","Terminated","FAILED",-7412.581,8,NA,NA,-7396.581,18.5487,0.296758
"28","RUN028_1C1AwAP_PPV_CORCLV_KA","Successful","OK",-7412.579,8,11.4864864864865,13.8104838709677,-7396.579,18.5634,0.296019
"33","RUN033_1C1AwAP_PPV_CORCLVKA_LAG01","Successful","FAILED",-7413.636,9,NA,NA,-7395.636,18.5459,0.29598
"31","RUN031_1C1AwAP_PPV_CORCLVKA_FFIX","Successful","FAILED",-7412.579,9,NA,NA,-7394.579,35.3317,0.296004
"30","RUN030_1C1AwEAP_PPV_CORCLVKA","Successful","OK",-7412.935,10,29.9860529986053,13.9516129032258,-7392.935,18.5236,0.292287
"29","RUN029_1C1AP_PPV_CORCLV_KA","Successful","OK",-7396.882,8,11.6216216216216,12.9588014981273,-7380.882,18.6217,0.283951
"6","RUN006_1C1AwA_PPV_CORCLV_KA","Successful","OK",-7360.679,9,31.6417910447761,14.6326530612245,-7342.679,18.2198,0.354484
"19","RUN019_DES_1C1AwA_PPV_CORCLVKA","Successful","OK",-7360.679,9,31.6417910447761,14.6326530612245,-7342.679,18.22,0.353745
"26","RUN026_DES_1C1AwA_PPV_CORCLVKAF","Successful","FAILED",-7360.679,10,NA,NA,-7340.679,18.2199,0.353808
"11","RUN011_2C1AwA_PPV_CORCLVKA","Successful","FAILED",-7360.84,11,NA,NA,-7338.84,18.248,0.35723
"17","RUN017_1C1AwEA_PPV_CORCLVKA","Successful","FAILED",-7353.53,11,NA,NA,-7331.53,18.2052,0.349343
